name
Fang Yuan
Bai Ning Bing
Hei Luo Lan
Ying Wu Xie
Fairy Miao Yin
Laddy White Rabbit
Acheron
Aglaea
Anaxa
Archer
Argenti
Ashveil
Aventurine
Bailu
Black Swan
Blade
Boothill
Bronya
Castorice
Cerydra
Cipher
Clara
Cyrene
Dan Heng • Imbibitor Lunae
Dan Heng • Permansor Terrae
Dr. Ratio
Evanescia
Evernight
Feixiao
Firefly
Fugue
Fu Xuan
Gepard
Gilgamesh
Himeko
Himeko • Nova
Huohuo
Hyacine
Hysilens
Jade
Jiaoqiu
Jingliu
Jing Yuan
Kafka
Lingsha
Luocha
Mortenax Blade
Mydei
Phainon
Rappa
Rin Tohsaka
Robin
Robin • Summeretto
Ruan Mei
Saber
Seele
Silver Wolf
Silver Wolf LV.999
Sparkle
Sparxie
Sunday
The Dahlia
The Herta
Topaz & Numby
Trailblazer (Destruction)
Trailblazer (Elation)
Trailblazer (Harmony)
Trailblazer (Preservation)
Trailblazer (Remembrance)
Tribbie
Welt
Yanqing
Yao Guang
Yunli
Arlan
Asta
Dan Heng
Gallagher
Guinaifen
Hanya
Herta
Hook
Luka
Lynx
March 7th (Preservation)
March 7th (The Hunt)
Misha
Moze
Natasha
Pela
Qingque
Sampo
Serval
Sushang
Tingyun
Xueyi
Yukong
Aha
